序号,note-text,length_dlut,positive_dlut,negative_dlut,anger_dlut,disgust_dlut,fear_dlut,good_dlut,sadness_dlut,surprise_dlut,happy_dlut
114,还能这样吗？我家孩最快乐的就是写作文，希望别发展到ai批改。,20,3,0,0,0,0,2,0,0,1
115,初中查重,2,0,0,0,0,0,0,0,0,0
116,我作为家长四年级也引导儿子善用ai修改作文，他有想不通的也和ai一起讨论得出最终结论，我觉得ai比我们老师更好，老师只会给模版让孩子们背下来，ai还会和孩子产生思维碰撞，善用工具但不依赖也是一种能力。另外想要作文有字可写，让孩子多感受多经历多看书，不然真的没素材不知道从何下手,83,1,2,0,2,0,1,0,0,0
117,我觉得很好啊，现在国家大力发展人工智能，这也是学习的一种嘛,18,1,0,0,0,0,1,0,0,0
118,工具本身没有对错之分，关键要看谁用，为什么用，怎么用。,18,0,0,0,0,0,0,0,0,0
119,科技是帮助我们的，你不改，别人改，且有头脑的改，而不是整篇换,23,1,1,0,1,0,1,0,0,0
120,能用啊 ，看你怎么合理运用了。我平时写完一篇文章用ai修改润色一下，自己明显感觉到自己的问题在哪里，就是想象力不足啊。所以我觉得没必要一棒子打死。为什么人类越来越聪明了，就是因为有了网络，宽广了眼界。但是要合理运用，修改之后要看看自己原来问题出在哪里。,79,7,1,0,0,0,6,1,1,0
121,我家娃今年三年级，我之前只用APP来给他拍照检查作业，他自己发现作文可以用AI润色，我觉得不错呀，AI润色能根据他本身的作文改动，他看了润色的作文以后感叹确实是好很多，同时也能多了解更多好的形容词,62,4,0,0,0,0,4,0,0,0
122,如果孩子自己写的，家长的协助下发给ai去润色，并且家长会讲解作文中的欠缺和不足还是可以用的。就怕孩子自己发个题目过去，直接生成作文了。孩子同学之前写的神奇书包，开始是书包后来都写成汽车了，明显跑题，ai还说写得好，被质疑这篇文章没有跑题吗？ai马上改口说确实跑题了，重新看一遍，就不是太信任ai了。还有发给ai让看看作文中的优缺点，好嘛，有的时候它觉得不好的地方，直接改得面目全非，还得特别说明，你只给我点评，别给我续写和改写。这还是要家长多亲力亲为吧,146,4,6,0,4,0,3,2,1,0
123,能接受啊，天下文章一大抄啊，如果AI待修改的好，为什么不能用，这就是一个工具啊。在自己的基础上让自己的文章更好，这是好事啊。有啥不支持的。你以为孩子能写出很好的？都积累才有用啊,62,2,1,0,1,0,2,0,0,1
124,这不挺正常的吗 工具就是拿来用的 关键在于你如何用。,18,0,0,0,0,0,0,0,0,0
125,那老师干啥啊,5,0,0,0,0,0,0,0,0,0
126,AI相当于咱们小时候看的作文大全呀，抄就是在模仿，写好文章是时间和阅历沉淀的结果，小学生能有什么呢，先抄个眼熟，考试能把抄过的变成自己的就是胜利。,46,0,0,0,0,0,0,0,0,0
127,Ai淘汰不了教师，但是一定能淘汰不会变通的家长,13,2,1,0,1,0,2,0,0,0
128,差点以为你在挂我……我是帮孩子改作文，但是语言不好就教爸爸妈妈善用AI辅导。然后把自己的文章让ai帮改的语言好一点。然后背出来考试套。,43,0,1,0,1,0,0,0,0,0
129,为什么不接受啊，挺好的啊，与时俱进,11,0,0,0,0,0,0,0,0,0
130,不能接受就自己教孩子改啊……老师带几十个小孩只能给每个人简单讲解，没法挨个逐字逐句分析摁着他改，家长又不会教，那求助ai也是一种方法啊,43,1,0,0,0,0,1,0,0,0
131,我不是学生啊，给你分享个有意思的。昨天我出门散步有点感触，语音口述给ai了，都是大白话。然后让它仿造作家风格给我改几个版本。虽然昨天是无意之举，但在原版和各种版本对比的过程中，我觉得是能有收获的，就是看到很直观的对同一件事不同的表达方式,79,1,1,0,1,0,1,0,0,0
132,润色啊，我以为直接ai一篇抄上呢。,11,1,0,0,0,0,1,0,0,0
133,是这样的，你如果可以辅导孩子作文，那就用不上ai了，这不是给广大教娃教到头秃的家长一点建议吗？,30,0,1,0,1,0,0,0,0,0
134,作文接受不了。但AI可以替代其他的，比如手抄报,13,0,1,0,1,0,0,0,0,0
135,你问的是：“接不接受老师把这件事往明里说”还是“接不接受Ai时代，人们利用起AI改作文”我想，前者无论说不说，这件事都有人在做。后者，接不接受，这件事都成定局,58,0,0,0,0,0,0,0,0,0
136,如果是学校老师我能理解，因为一对一辅导出来的也是老师个人的思路，对全班同学来说也是有局限性的，所以自己的作文用ai润色是可以的，当然一对一我不说,44,2,0,0,0,0,2,0,0,0
137,我现在就是用AI修改作文，孩子作文写得不好，所以AI修改后让孩子背下来。,21,0,1,0,1,0,0,0,0,0
138,我儿子看完ai润色的作文，说“它批改的真好，比我们老师仔细”,22,2,0,0,0,0,2,0,0,0
139,现在中考高考的英语听说考试都是ai改的了，早日融入，早日适应这是趋势,21,0,0,0,0,0,0,0,0,0
140,四年级第一单元作文推荐一个好地方，老师给了写作要求，让孩子回家用 ai 生成三篇作文，挑一篇觉得最好的抄在作文本上,35,2,0,0,0,0,2,0,0,0
141,小孩写了满篇的作文让后让ai修改最后在抄一遍到现在都没有做完，这个叫好吗？总不至于让小孩随便乱写一点然后让ai改，这么叫写好了作文吗。狗屁不通的理论，简化老师的流程，让家长教小孩如何投机取巧吗。狗屁一样的ai，害人的东西,71,1,5,0,5,0,1,0,0,0
142,我把班里几个作文实在写得不像话的孩子的作文用ai润色了，发给家长请他给孩子打印出来，让学生自己读和比较，真正明白自己想表达的怎么说才更好……这比我写1000字评语有用多了,54,3,1,0,1,0,3,0,0,0
143,交作文前请ai过了一遍，指出语句里的错误，点评完觉得没啥问题，但还是没达到老师的点,29,0,0,0,0,0,0,0,0,0
144,以前没ai的时候，很多老师也是为了省事直接让学生背作文选,17,1,0,0,0,0,1,0,0,0
145,啊？不能吧，我们特意强调了，作文都在学校当堂完成，为了避免回家依赖ai,22,0,1,0,1,0,0,0,0,0
146,我不建议，还是人工修改,7,0,0,0,0,0,0,0,0,0
147,进化论告诉我们，会用工具的是智人，不会用的是动物。,17,0,0,0,0,0,0,0,0,0
148,如果是初中生我觉得理解，如果是小学生，我觉得不太行。甚至哪怕是家长悄悄用AI呢，然后带着孩子一起修改，也不要让孩子直接依赖ai。 如果是老师这么说，我真的觉得不太接受。,53,1,2,0,1,1,1,0,0,0
149,其实参考AI和参考作文书并没有什么太大区别……,15,1,0,0,0,0,1,0,0,0
150,AI可以提供写作灵感，毕竟孩子拿到一个主题时没有思路硬想也是想不出来的。有了灵感以后，搭建作文的框架和遣词造句必须是孩子自己来，这才是主要训练作文的地方。写完以后可以让AI进行润色，但不要直接照抄润色后的文字，重点是看哪些是孩子表达啰嗦、条理不清和有病句的地方，这些让孩子学会后再修改自己的作文，而那些明显不是孩子会使用的遣词造句不要用。,105,4,2,0,1,1,4,0,0,0
151,不是所有人都会ai润色的，很多人不会给口令，生成的文章毫无逻辑可言,20,1,1,0,1,0,1,0,0,0
152,总之老师是不用批改作文了,7,0,0,0,0,0,0,0,0,0
153,校内让，校外不让，说到了中考没人压中题目，如果题目不在你准备范文内，至少有个现场写的能力，要为自己负责,34,2,0,0,0,0,2,0,0,0
154,能啊，不是所有的人都擅长写作,10,1,1,0,1,0,1,0,0,0
155,可以吧，时代特色以后会越来越普遍,8,1,0,0,0,0,1,0,0,0
156,我们学生反正我改了写了批语他们也不懂，Ai改了批了他们也不懂，都一样。,27,0,0,0,0,0,0,0,0,0
157,我女儿说，老师的范文就很ai。哈哈哈哈哈哈,13,1,0,0,0,0,1,0,0,0
158,拥抱智能，而不是抵触，你觉得你能比AI改的好的另说，AI和参考答案差不多，你是先做后看，还是先看后坐，顺序很重要,38,2,2,0,2,0,2,0,0,0
159,塌？不要太好用,5,0,0,0,0,0,0,0,0,0
160,H,1,0,0,0,0,0,0,0,0,0
161,我们做题都是老师念答案连造句全班都一模一样的，作文更是鼓励抄AI的或者抄网络上的。我放弃了我自己教。,33,0,0,0,0,0,0,0,0,0
162,我娃写得太长了，我要求Ai缩写，还有修改语病，还得特别说明，不然一改就面目全非很夸张,26,0,2,0,1,0,0,1,0,0
163,有的学校要求老师让学生用AI修改润色的，要求用的,16,1,0,0,0,0,1,0,0,0
164,我们老师也建议孩子用豆包改作文,9,0,0,0,0,0,0,0,0,0
165,其实不要排斥，因为这是一个作文教学的方向，前几年去培训就提到了,19,1,0,0,0,0,1,0,0,0
166,什么软件啊，求推荐,6,1,0,0,0,0,1,0,0,0
167,为什么不呢？？？那也是学习呀？？这是趋势。。只要是学校老师的建议都可以。。。,28,1,0,0,0,0,1,0,0,0
168,没发现现在都没什么好的新作家了吗,11,0,0,0,0,0,0,0,0,0
169,其实我就是让孩子写好，找Ai 润色的，最好再让他背一背,20,3,0,0,0,0,3,0,0,0
170,能接受啊，我孩子就是打好了草稿之后，然后再让AI修改。然后孩子看了AI的修改之后参考一下，然后再写出自己的作文。不会全抄Ai,39,0,0,0,0,0,0,0,0,0
171,现在的AI课堂就是用AI修改啊,9,0,0,0,0,0,0,0,0,0
172,我可以用AI给孩子改,7,0,0,0,0,0,0,0,0,0
173,没啥问题吧，要学会与时俱进,8,0,0,0,0,0,0,0,0,0
174,Ai好用的，但不能照抄，AI修改的作文我会让他借鉴，但尽可能都是自己的输出思考。毕竟如果自己写好的作文让老师修改，老师提出建议，是不是其实跟AI一个原理？,48,2,0,0,0,0,2,0,0,0
175,我们学校鼓励老师AI批改，老师会发现孩子的问题的,14,0,0,0,0,0,0,0,0,0
176,我们老师不允许ai,5,0,0,0,0,0,0,0,0,0
177,为什么不呢 学了就是自己的 反正考试又不查,13,0,0,0,0,0,0,0,0,0
178,我们去年五年级就是，然后他会了以后现在周末在家都是用ai写,17,0,0,0,0,0,0,0,0,0
179,能接受啊，自己写完ai润色，吸取部分好的进行修正，慢慢自己也越写越好了，跟我们小时候背优秀作文的片段佳句然后仿写套用一个意思,40,3,0,0,0,0,3,0,0,0
180,为啥就不能接受,4,0,0,0,0,0,0,0,0,0
181,英语可以语文不行,4,0,1,0,0,0,0,1,0,0
182,高考又不能用。不过用来做点评，修改意见可以试试。家长用就好，别让孩子用。,24,0,1,0,1,0,0,0,0,0
183,为什么不可以？前提一定是要孩子自己先把文章写出来，然后豆包修改润色，不就等于找老师修改过作文了！,31,2,0,0,0,0,2,0,0,0
184,有什么不可接受的。就是个工具，用好工具可以解放很多劳动力。如果只是图省劲，用不用ai还是不会思考啊,30,2,0,0,0,0,1,0,0,1
185,专家提倡的，前段时间培训过,7,2,0,0,0,0,2,0,0,0
186,没什么啊，我们小时候也照着作文选学写作文啊。天下文章一大抄 本来就是模仿。,21,0,0,0,0,0,0,0,0,0
187,我自己写了一篇小的文章，给Ai润色，我真的是枉为人类，真的写的没Ai好，而且也跟ai学到了很多，最后自己重新修改的一遍，心情很复杂,45,1,1,0,1,0,1,0,0,0
188,我是家长我也用，参考一下嘛，比我自己改的好，但是不能不动脑筋完全照搬,23,0,0,0,0,0,0,0,0,0
189,我们这也这样,4,0,0,0,0,0,0,0,0,0
190,忘了四年级还是五年级，好像专门有一单元是讲作文修改，一篇作文要改好几遍。先自己改，再同学改，最后老师改。娃是不是正好学到那里了。AI辅助也不是不行，但是得学会AI修改的思路而不是图省事直接抄了上交。个人最不喜欢现在小学作文的点是，期末考都是考课内写过的一模一样的题目，由此衍生出很多应试的现象,92,2,3,0,2,0,2,1,0,0
191,润色可以，说白了就是追改一些嘛。但是直接用ai写是不行的，那个度不好把控，孩子容易产生依赖性，结果就是写作水平退步。我家娃有阵子就是这样，一写作文就用平板，现在被我禁止使用了,52,1,4,0,3,0,1,1,0,0
192,学会善用，反而有利,5,0,0,0,0,0,0,0,0,0
193,天下文章一大抄,4,0,0,0,0,0,0,0,0,0
194,天下文章一大抄,4,0,0,0,0,0,0,0,0,0
195,我也接受不了，文采不好就学，可以抄范文但是还是不要抄ai了,18,1,2,0,2,0,1,0,0,0
196,我小时候老师就要求背范文了…说应对高考要学会的是拆分重组+润色。说实话我觉得对于专注于高考出成绩挺对的…有了Ai辅导润色，再记忆背诵，肚子里有墨水才能加以利用,51,5,0,0,0,0,5,0,0,0
197,现在有专门加入Ai literacy 教学，国外学术读写也有,15,0,0,0,0,0,0,0,0,0
198,你想象用ai就是过去你翻作文书，查网页，只不过把这个过程简化了,19,0,0,0,0,0,0,0,0,0
199,我孩子初三的语文老师就是这样的。中考一个班的语文成绩全扑了（x_x；）,23,0,0,0,0,0,0,0,0,0
200,误人子弟的老师,3,0,0,0,0,0,0,0,0,0
201,有什么不能接受的，只要正确引导，让孩子对比润色过的和自己的差距在哪，以后应该怎么提升自己，多好啊。老师给润色批改，也不过如此，只是更快捷了而已。,45,3,1,0,1,0,3,0,0,0
202,初高中我觉得我还能接受，小学就开始，我还是挺难接受的,17,0,0,0,0,0,0,0,0,0
203,我是初中老师，我就建议孩子适当使用AI，但你要会用。对水平比较低，句子不通的孩子，要求AI帮他修改语病，让句子通顺。这样他才知道正确的句子是什么样的，这个根本不需要老师介入。水平中等的孩子有两类，一类是选材立意太平庸，一类是不会描写，太干巴。前者让AI提供一些选材立意再自己写，学到了就是自己的；后者让AI增加描写细节再由学生根据现实情况修改，这个过程就是学描写最好的，老师只需要告诉学生他们属于哪一类。只有比较优秀有灵气的学生，他们的作品AI会将他们改的平庸，需要老师一对一告诉他们怎么调整细节。所以五年级小朋友上AI去学习怎么增加描写完全没问题，就是一个个性化提供好词好句的机器而已。,180,6,4,0,4,0,6,0,0,0
204,其实挺能接受的。不是所有孩子都有写文章的能力和天赋。ai润色完全可以，只要文章题材是自己写的。我中考的时候的作文就是ai润色过的分数就是高。主要要让孩子学会怎么转换题材，一个题材用到不同的题目上怎么用。ai润色润色无伤大雅的,68,6,1,0,1,0,6,0,0,0
205,那你自己辅导呗,5,0,0,0,0,0,0,0,0,0
206,四年级就开始用了，我觉得挺好用的，AI就是个建议者，挑选部分符合小朋友文采水平的建议修改还是挺好的，AI+人结合很完美。总比有些孩子懒的动脑完全不修改好。冷知识： 现在英文领域很多AI都可以直接给作业评分了，很成熟的技术,70,1,0,0,0,0,1,0,0,0
207,AI写出来的，我不太满意。没有灵魂，都是一些华丽的词藻的堆砌。我都是在网上找一些范文， 让小朋友参考。主要是给他打开一些思路。,44,3,1,0,1,0,3,0,0,0
208,取长补短有什么不行,4,1,1,0,0,0,1,1,0,0
